Name,IRAQ 5.8 01/15/28 CORP
BB ,EF230685 Corp
start,1/1/2006
end,7/3/2013
date,BLP_Z_SPRD_MID
4/6/2010,389.978
4/7/2010,395.912
4/8/2010,401.85
4/9/2010,395.249
4/12/2010,393.014
4/13/2010,397.475
4/14/2010,391.04
4/15/2010,388.88
4/16/2010,388.929
4/19/2010,389.317
4/20/2010,382.327
4/21/2010,387.707
4/22/2010,386.519
4/23/2010,376.771
4/26/2010,373.462
4/27/2010,383.982
4/28/2010,385.821
4/29/2010,380.942
4/30/2010,387.133
5/3/2010,382.086
5/4/2010,392.249
5/5/2010,419.412
5/6/2010,444.719
5/7/2010,461.755
5/10/2010,412.724
5/11/2010,405.966
5/12/2010,395.97
5/13/2010,386.436
5/14/2010,415.937
5/17/2010,428.956
5/18/2010,422.362
5/19/2010,449.277
5/27/2010,430.565
5/28/2010,423.835
5/31/2010,419.959
6/1/2010,428.151
6/2/2010,426.531
6/3/2010,412.147
6/4/2010,430.505
6/7/2010,433.791
6/8/2010,436.409
6/9/2010,437.937
6/10/2010,436.877
6/11/2010,440.415
6/14/2010,436.59
6/15/2010,441.672
6/16/2010,445.024
6/17/2010,453.451
6/18/2010,452.704
6/21/2010,435.354
6/22/2010,441.962
6/23/2010,451.338
6/24/2010,451.524
6/25/2010,458.763
6/28/2010,464.546
6/29/2010,484.492
6/30/2010,484.6
7/1/2010,495.429
7/2/2010,487.385
7/5/2010,492.712
7/6/2010,488.76
7/7/2010,486.656
7/8/2010,466.78
7/9/2010,463.003
7/12/2010,459.024
7/13/2010,447.235
7/14/2010,444.162
7/15/2010,457.341
7/16/2010,463.606
7/19/2010,465.58
7/20/2010,465.308
7/21/2010,463.578
7/22/2010,465.897
7/23/2010,462.865
7/26/2010,455.256
7/27/2010,447.128
7/28/2010,448.559
7/29/2010,454.148
7/30/2010,459.661
8/2/2010,456.984
8/3/2010,456.482
8/4/2010,447.545
8/5/2010,453.834
8/6/2010,454.946
8/9/2010,450.817
8/10/2010,454.661
8/11/2010,462.317
8/12/2010,457.51
8/13/2010,459.273
8/16/2010,466.951
8/17/2010,454.034
8/18/2010,448.888
8/19/2010,453.295
8/20/2010,450.909
8/23/2010,448.171
8/24/2010,458.481
8/25/2010,466.083
8/26/2010,468.665
8/27/2010,457.554
8/30/2010,461.152
8/31/2010,481.93
9/1/2010,473.237
9/2/2010,468.9
9/3/2010,463.703
9/6/2010,464.057
9/7/2010,478.176
9/8/2010,475.195
9/9/2010,463.113
9/10/2010,460.42
9/13/2010,463.116
9/14/2010,469.217
9/15/2010,465.565
9/16/2010,457.663
9/17/2010,460.158
9/20/2010,460.92
9/21/2010,466.197
9/22/2010,479.474
9/23/2010,475.61
9/24/2010,469.485
9/27/2010,478.51
9/28/2010,483.203
9/29/2010,482.047
9/30/2010,474.095
10/1/2010,458.747
10/4/2010,458.467
10/5/2010,454.665
10/6/2010,464.188
10/7/2010,460.749
10/8/2010,460.855
10/11/2010,452.783
10/12/2010,457.361
10/13/2010,436.418
10/14/2010,414.619
10/15/2010,409.186
10/18/2010,407.981
10/19/2010,405.966
